Jurisdiction,Rate,Operational,Design,Custody population,Year
Kentucky,11699,11699,11954,11867,2016
Louisiana,18121,16124,16764,17932,2016
Maine,2344,4700,4700,2356,2016
Maryland,,23439,,20211,2016
Massachusetts,,10660,7728,9038,2016
Michigan,43278,42441,,41122,2016
Minnesota,,9504,,9509,2016
Mississippi,,23516,,13720,2016
Missouri,,32223,,32427,2016
Montana,,1689,,1718,2016
Nebraska,,4094,3275,5167,2016
Nevada,14122,,13491,13932,2016
New Hampshire,2583,2700,1966,2599,2016
New Jersey,16738,17923,23016,16738,2016
New Mexico,,7055,7055,3956,2016
New York,51163,51473,50762,50611,2016
North Carolina,,37587,,35970,2016
North Dakota,,1353,1353,1379,2016
Ohio,,,,45913,2016
Oklahoma,17902,20299,17902,19218,2016
Oregon,,,14997,14579,2016
Pennsylvania,47624,47624,47624,48287,2016
Rhode Island,3989,3774,3973,2887,2016
South Carolina,,22380,,20376,2016
South Dakota,,3795,,3770,2016
Tennessee,15794,15376,,14106,2016
Texas,159696,153501,159696,137584,2016
Utah,,6492,6699,4502,2016
Vermont,1680,1680,1668,1471,2016
Virginia,,27537,,29882,2016
Washington,,16755,,17228,2016
West Virginia,5214,5989,5214,5899,2016
Wisconsin,,22991,17181,23163,2016
Wyoming,2288,2288,2407,2083,2016
